question_id,stage,sub_category,answer
Q0004,진료개시,chief_complaint,다리가 불편해서 왔어요.
Q0004,진료개시,chief_complaint,손가락이 아파서 왔어요.
Q0004,진료개시,chief_complaint,엉치가 아파가지고 왔어요.
Q0004,진료개시,chief_complaint,발 통증이 너무 심해서 왔어요.
Q0004,진료개시,chief_complaint,허리하고 명치가 계속 아파서 왔어요.
Q0004,진료개시,chief_complaint,목이 뻐근해서 왔습니다.
Q0004,진료개시,chief_complaint,무릎이 아파서 왔어요.
Q0004,진료개시,chief_complaint,어깨가 잘 안 올라가서 왔어요.
Q0004,진료개시,chief_complaint,다리가 저려서 왔습니다.
Q0004,진료개시,chief_complaint,엉치가 쑤셔서 왔어요.
Q0004,진료개시,chief_complaint,발바닥이 화끈거려서 왔습니다.
Q0004,진료개시,chief_complaint,손가락이 붓고 아파서 왔어요.
Q0004,진료개시,chief_complaint,대상포진 이후로 통증이 남아서 왔습니다.
Q0004,진료개시,chief_complaint,교통사고 후 허리가 계속 불편해서 왔어요.
Q0004,진료개시,chief_complaint,팔꿈치가 찌릿해서 왔습니다.
Q0004,진료개시,chief_complaint,고개를 돌리면 목이 아파서 왔어요.
Q0004,진료개시,chief_complaint,계단 내려갈 때 무릎이 아파서 왔어요.
Q0004,진료개시,chief_complaint,오래 앉아 있으면 허리가 아파서 왔습니다.
Q0005,진료개시,prior_treatment,대상포진 후 신경통으로 경막외 신경차단술을 받았어요.
Q0005,진료개시,prior_treatment,물리치료를 받았습니다.
Q0005,진료개시,prior_treatment,도수치료를 몇 번 받았어요.
Q0005,진료개시,prior_treatment,신경차단술을 받았습니다.
Q0005,진료개시,prior_treatment,주사치료를 맞아봤어요.
Q0005,진료개시,prior_treatment,체외충격파를 받았습니다.
Q0005,진료개시,prior_treatment,약물치료만 했어요.
Q0005,진료개시,prior_treatment,한의원에서 침을 맞았습니다.
Q0005,진료개시,prior_treatment,정형외과에서 엑스레이를 찍었어요.
Q0005,진료개시,prior_treatment,MRI를 찍고 디스크라고 들었습니다.
Q0005,진료개시,prior_treatment,아직 치료받은 적은 없습니다.
Q0005,진료개시,prior_treatment,개인병원에서 근이완제를 처방받았습니다.
Q0006,통증 부위,location,허리가 아파요
Q0006,통증 부위,location,다리가 제일 불편해요
Q0006,통증 부위,location,어깨가 불편합니다.
Q0006,통증 부위,location,허리도 아프고 손가락도 아파요.
Q0006,통증 부위,location,발이 아파서 운동화를 못 신어요
Q0006,통증 부위,location,"전에는 손쪽이 붓고 막 아팠는데 지금 발쪽, 발가락 쪽까지 쑤시거든요"
Q0006,통증 부위,location,다리가 붓는건 없는데 시리고 아파요.
Q0006,통증 부위,location,허리가 제일 아파요.
Q0006,통증 부위,location,목 뒤가 제일 불편합니다.
Q0006,통증 부위,location,오른쪽 어깨가 아파요.
Q0006,통증 부위,location,왼쪽 무릎이 제일 아픕니다.
Q0006,통증 부위,location,엉치 쪽이 쑤십니다.
Q0006,통증 부위,location,허벅지 뒤쪽이 당겨요.
Q0006,통증 부위,location,종아리 바깥쪽이 저립니다.
Q0006,통증 부위,location,발바닥 앞쪽이 화끈거려요.
Q0006,통증 부위,location,손목 안쪽이 아파요.
Q0006,통증 부위,location,손가락 마디가 붓고 아픕니다.
Q0006,통증 부위,location,갈비뼈 아래쪽이 아파요.
Q0006,통증 부위,location,꼬리뼈가 앉을 때 아픕니다.
Q0006,통증 부위,location,발목 바깥쪽이 시큰거립니다.
Q0007,통증 부위,location,허리가 아파요
Q0007,통증 부위,location,다리가 제일 불편해요
Q0007,통증 부위,location,어깨가 불편합니다.
Q0007,통증 부위,location,허리도 아프고 손가락도 아파요.
Q0007,통증 부위,location,발이 아파서 운동화를 못 신어요
Q0007,통증 부위,location,"전에는 손쪽이 붓고 막 아팠는데 지금 발쪽, 발가락 쪽까지 쑤시거든요"
Q0007,통증 부위,location,다리가 붓는건 없는데 시리고 아파요.
Q0007,통증 부위,location,허리가 제일 아파요.
Q0007,통증 부위,location,목 뒤가 제일 불편합니다.
Q0007,통증 부위,location,오른쪽 어깨가 아파요.
Q0007,통증 부위,location,왼쪽 무릎이 제일 아픕니다.
Q0007,통증 부위,location,엉치 쪽이 쑤십니다.
Q0007,통증 부위,location,허벅지 뒤쪽이 당겨요.
Q0007,통증 부위,location,종아리 바깥쪽이 저립니다.
Q0007,통증 부위,location,발바닥 앞쪽이 화끈거려요.
Q0007,통증 부위,location,손목 안쪽이 아파요.
Q0007,통증 부위,location,손가락 마디가 붓고 아픕니다.
Q0007,통증 부위,location,갈비뼈 아래쪽이 아파요.
Q0007,통증 부위,location,꼬리뼈가 앉을 때 아픕니다.
Q0007,통증 부위,location,발목 바깥쪽이 시큰거립니다.
Q0008,통증 부위,location,허리가 제일 아파요.
Q0008,통증 부위,location,목 뒤가 제일 불편합니다.
Q0008,통증 부위,location,오른쪽 어깨가 아파요.
Q0008,통증 부위,location,왼쪽 무릎이 제일 아픕니다.
Q0008,통증 부위,location,엉치 쪽이 쑤십니다.
Q0008,통증 부위,location,허벅지 뒤쪽이 당겨요.
Q0008,통증 부위,location,종아리 바깥쪽이 저립니다.
Q0008,통증 부위,location,발바닥 앞쪽이 화끈거려요.
Q0008,통증 부위,location,손목 안쪽이 아파요.
Q0008,통증 부위,location,손가락 마디가 붓고 아픕니다.
Q0008,통증 부위,location,갈비뼈 아래쪽이 아파요.
Q0008,통증 부위,location,꼬리뼈가 앉을 때 아픕니다.
Q0008,통증 부위,location,발목 바깥쪽이 시큰거립니다.
Q0008,통증 부위,location,팔꿈치 바깥쪽이 찌릿합니다.
Q0008,통증 부위,location,턱관절 쪽이 씹을 때 아파요.
Q0009,통증 부위,location,허리가 제일 아파요.
Q0009,통증 부위,location,목 뒤가 제일 불편합니다.
Q0009,통증 부위,location,오른쪽 어깨가 아파요.
Q0009,통증 부위,location,왼쪽 무릎이 제일 아픕니다.
Q0009,통증 부위,location,엉치 쪽이 쑤십니다.
Q0009,통증 부위,location,허벅지 뒤쪽이 당겨요.
Q0009,통증 부위,location,종아리 바깥쪽이 저립니다.
Q0009,통증 부위,location,발바닥 앞쪽이 화끈거려요.
Q0009,통증 부위,location,손목 안쪽이 아파요.
Q0009,통증 부위,location,손가락 마디가 붓고 아픕니다.
Q0009,통증 부위,location,갈비뼈 아래쪽이 아파요.
Q0009,통증 부위,location,꼬리뼈가 앉을 때 아픕니다.
Q0009,통증 부위,location,발목 바깥쪽이 시큰거립니다.
Q0009,통증 부위,location,팔꿈치 바깥쪽이 찌릿합니다.
Q0009,통증 부위,location,턱관절 쪽이 씹을 때 아파요.
Q0010,통증 부위,disc_or_muscle,디스크 있던 부위가 아픕니다.
Q0010,통증 부위,disc_or_muscle,주변 근육이 더 아픈 것 같아요.
Q0010,통증 부위,disc_or_muscle,허리 가운데보다 엉치가 더 아파요.
Q0010,통증 부위,disc_or_muscle,다리로 내려가는 통증이 더 큽니다.
Q0010,통증 부위,disc_or_muscle,수술한 자리 근처가 불편합니다.
Q0010,통증 부위,disc_or_muscle,근육통처럼 뻐근합니다.
Q0010,통증 부위,disc_or_muscle,디스크 쪽인지 근육인지 잘 모르겠습니다.
Q0010,통증 부위,disc_or_muscle,눌리는 느낌보다는 뭉친 느낌입니다.
Q0011,통증 부위,disc_or_muscle,디스크 있던 부위가 아픕니다.
Q0011,통증 부위,disc_or_muscle,주변 근육이 더 아픈 것 같아요.
Q0011,통증 부위,disc_or_muscle,허리 가운데보다 엉치가 더 아파요.
Q0011,통증 부위,disc_or_muscle,다리로 내려가는 통증이 더 큽니다.
Q0011,통증 부위,disc_or_muscle,수술한 자리 근처가 불편합니다.
Q0011,통증 부위,disc_or_muscle,근육통처럼 뻐근합니다.
Q0011,통증 부위,disc_or_muscle,디스크 쪽인지 근육인지 잘 모르겠습니다.
Q0011,통증 부위,disc_or_muscle,눌리는 느낌보다는 뭉친 느낌입니다.
Q0012,통증강도,pain_score,한 7점 정도 되는 것 같아요
Q0012,통증강도,pain_score,평소에는 5-6점 정도요. 하지만 통증이 극심할 때는 9-10점까지도 느껴요.
Q0012,통증강도,pain_score,지금은 3점 정도입니다.
Q0012,통증강도,pain_score,평소에는 5점 정도예요.
Q0012,통증강도,pain_score,움직이면 7점까지 올라갑니다.
Q0012,통증강도,pain_score,심할 때는 9점입니다.
Q0012,통증강도,pain_score,최고로 아플 때는 10점 같아요.
Q0012,통증강도,pain_score,참을 만하면 4점 정도입니다.
Q0012,통증강도,pain_score,밤에는 8점 정도로 심해져요.
Q0012,통증강도,pain_score,약 먹으면 2점 정도로 줄어요.
Q0012,통증강도,pain_score,가만히 있으면 1점 정도예요.
Q0012,통증강도,pain_score,계단 내려갈 때는 6점 정도입니다.
Q0013,통증강도,pain_score,한 7점 정도 되는 것 같아요
Q0013,통증강도,pain_score,평소에는 5-6점 정도요. 하지만 통증이 극심할 때는 9-10점까지도 느껴요.
Q0013,통증강도,pain_score,지금은 3점 정도입니다.
Q0013,통증강도,pain_score,평소에는 5점 정도예요.
Q0013,통증강도,pain_score,움직이면 7점까지 올라갑니다.
Q0013,통증강도,pain_score,심할 때는 9점입니다.
Q0013,통증강도,pain_score,최고로 아플 때는 10점 같아요.
Q0013,통증강도,pain_score,참을 만하면 4점 정도입니다.
Q0013,통증강도,pain_score,밤에는 8점 정도로 심해져요.
Q0013,통증강도,pain_score,약 먹으면 2점 정도로 줄어요.
Q0013,통증강도,pain_score,가만히 있으면 1점 정도예요.
Q0013,통증강도,pain_score,계단 내려갈 때는 6점 정도입니다.
Q0014,통증강도,pain_score,한 7점 정도 되는 것 같아요
Q0014,통증강도,pain_score,평소에는 5-6점 정도요. 하지만 통증이 극심할 때는 9-10점까지도 느껴요.
Q0014,통증강도,pain_score,지금은 3점 정도입니다.
Q0014,통증강도,pain_score,평소에는 5점 정도예요.
Q0014,통증강도,pain_score,움직이면 7점까지 올라갑니다.
Q0014,통증강도,pain_score,심할 때는 9점입니다.
Q0014,통증강도,pain_score,최고로 아플 때는 10점 같아요.
Q0014,통증강도,pain_score,참을 만하면 4점 정도입니다.
Q0014,통증강도,pain_score,밤에는 8점 정도로 심해져요.
Q0014,통증강도,pain_score,약 먹으면 2점 정도로 줄어요.
Q0014,통증강도,pain_score,가만히 있으면 1점 정도예요.
Q0014,통증강도,pain_score,계단 내려갈 때는 6점 정도입니다.
Q0015,통증강도,severity,너무 아파요.
Q0015,통증강도,severity,많이 아파요.
Q0015,통증강도,severity,조금 아파요
Q0015,통증강도,severity,통증이 심해요
Q0015,통증강도,severity,참을 만해요
Q0015,통증강도,severity,움직이기 힘들어요
Q0015,통증강도,severity,잠을 못 잘 정도로 아파요.
Q0015,통증강도,severity,계속 아픈 상태예요.
Q0015,통증강도,severity,가끔 많이 아파요
Q0015,통증강도,severity,참을 만해요.
Q0015,통증강도,severity,움직이기 힘들어요.
Q0015,통증강도,severity,일상생활이 어렵습니다.
Q0015,통증강도,severity,조금 불편한 정도입니다.
Q0015,통증강도,severity,걸을 때마다 심합니다.
Q0015,통증강도,severity,가끔 심해집니다.
Q0015,통증강도,severity,계속 신경 쓰일 정도입니다.
Q0016,통증강도,severity,참을 만해요.
Q0016,통증강도,severity,많이 아파요.
Q0016,통증강도,severity,너무 아파요.
Q0016,통증강도,severity,움직이기 힘들어요.
Q0016,통증강도,severity,잠을 못 잘 정도로 아파요.
Q0016,통증강도,severity,일상생활이 어렵습니다.
Q0016,통증강도,severity,조금 불편한 정도입니다.
Q0016,통증강도,severity,걸을 때마다 심합니다.
Q0016,통증강도,severity,가끔 심해집니다.
Q0016,통증강도,severity,계속 신경 쓰일 정도입니다.
Q0017,통증강도,severity,참을 만해요.
Q0017,통증강도,severity,많이 아파요.
Q0017,통증강도,severity,너무 아파요.
Q0017,통증강도,severity,움직이기 힘들어요.
Q0017,통증강도,severity,잠을 못 잘 정도로 아파요.
Q0017,통증강도,severity,일상생활이 어렵습니다.
Q0017,통증강도,severity,조금 불편한 정도입니다.
Q0017,통증강도,severity,걸을 때마다 심합니다.
Q0017,통증강도,severity,가끔 심해집니다.
Q0017,통증강도,severity,계속 신경 쓰일 정도입니다.
Q0018,통증 발생시점,onset,어제부터 되게 심하게 아프네요
Q0018,통증 발생시점,onset,오른쪽 무릎이 며칠 전부터 계속 시큰거리고 걸을 때마다 아프거든요.
Q0018,통증 발생시점,onset,1주일 전부터 발가락이 쑤시고 아파요.
Q0018,통증 발생시점,onset,허리 불편한 지는 2개월 정도 됐어요.
Q0018,통증 발생시점,onset,다리 통증은 한 10년도 넘었어요.
Q0018,통증 발생시점,onset,한달 전부터 갈비뼈 쪽이나 왼쪽 쪽으로 약간씩 아프더라고요.
Q0018,통증 발생시점,onset,조금씩 아프기 시작한 지가 한 1년 됐고요.
Q0018,통증 발생시점,onset,(교통)사고가 나고 나서부터 불편해졌지만 그땐 참을만했었는데.
Q0018,통증 발생시점,onset,저번에 약을 조금 바꿨는데 그 약을 먹고 나서부터 심장 쪽 주변이 되게 아프고요.
Q0018,통증 발생시점,onset,그때부터 꼬리뼈가 아프기 시작했어요
Q0018,통증 발생시점,onset,통증은 원래부터 있었는데 일주일 전부터 심해졌어요.
Q0018,통증 발생시점,onset,예전에도 아프긴 했는데 어제부터는 진짜 너무 아파요.
Q0018,통증 발생시점,onset,어제부터 심해졌어요.
Q0018,통증 발생시점,onset,3일 전부터 아팠습니다.
Q0018,통증 발생시점,onset,일주일 전부터 시작됐어요.
Q0018,통증 발생시점,onset,한 달 전부터 조금씩 아팠습니다.
Q0018,통증 발생시점,onset,2개월 정도 됐어요.
Q0018,통증 발생시점,onset,1년 넘게 반복됐습니다.
Q0018,통증 발생시점,onset,교통사고 이후부터 아팠어요.
Q0018,통증 발생시점,onset,무거운 물건 들고 나서 생겼어요.
Q0019,통증 발생시점,onset,어제부터 되게 심하게 아프네요
Q0019,통증 발생시점,onset,오른쪽 무릎이 며칠 전부터 계속 시큰거리고 걸을 때마다 아프거든요.
Q0019,통증 발생시점,onset,1주일 전부터 발가락이 쑤시고 아파요.
Q0019,통증 발생시점,onset,허리 불편한 지는 2개월 정도 됐어요.
Q0019,통증 발생시점,onset,다리 통증은 한 10년도 넘었어요.
Q0019,통증 발생시점,onset,한달 전부터 갈비뼈 쪽이나 왼쪽 쪽으로 약간씩 아프더라고요.
Q0019,통증 발생시점,onset,조금씩 아프기 시작한 지가 한 1년 됐고요.
Q0019,통증 발생시점,onset,(교통)사고가 나고 나서부터 불편해졌지만 그땐 참을만했었는데.
Q0019,통증 발생시점,onset,저번에 약을 조금 바꿨는데 그 약을 먹고 나서부터 심장 쪽 주변이 되게 아프고요.
Q0019,통증 발생시점,onset,그때부터 꼬리뼈가 아프기 시작했어요
Q0019,통증 발생시점,onset,통증은 원래부터 있었는데 일주일 전부터 심해졌어요.
Q0019,통증 발생시점,onset,예전에도 아프긴 했는데 어제부터는 진짜 너무 아파요.
Q0019,통증 발생시점,onset,어제부터 심해졌어요.
Q0019,통증 발생시점,onset,3일 전부터 아팠습니다.
Q0019,통증 발생시점,onset,일주일 전부터 시작됐어요.
Q0019,통증 발생시점,onset,한 달 전부터 조금씩 아팠습니다.
Q0019,통증 발생시점,onset,2개월 정도 됐어요.
Q0019,통증 발생시점,onset,1년 넘게 반복됐습니다.
Q0019,통증 발생시점,onset,교통사고 이후부터 아팠어요.
Q0019,통증 발생시점,onset,무거운 물건 들고 나서 생겼어요.
Q0020,통증 발생시점,onset,어제부터 되게 심하게 아프네요
Q0020,통증 발생시점,onset,오른쪽 무릎이 며칠 전부터 계속 시큰거리고 걸을 때마다 아프거든요.
Q0020,통증 발생시점,onset,1주일 전부터 발가락이 쑤시고 아파요.
Q0020,통증 발생시점,onset,허리 불편한 지는 2개월 정도 됐어요.
Q0020,통증 발생시점,onset,다리 통증은 한 10년도 넘었어요.
Q0020,통증 발생시점,onset,한달 전부터 갈비뼈 쪽이나 왼쪽 쪽으로 약간씩 아프더라고요.
Q0020,통증 발생시점,onset,조금씩 아프기 시작한 지가 한 1년 됐고요.
Q0020,통증 발생시점,onset,(교통)사고가 나고 나서부터 불편해졌지만 그땐 참을만했었는데.
Q0020,통증 발생시점,onset,저번에 약을 조금 바꿨는데 그 약을 먹고 나서부터 심장 쪽 주변이 되게 아프고요.
Q0020,통증 발생시점,onset,그때부터 꼬리뼈가 아프기 시작했어요
Q0020,통증 발생시점,onset,통증은 원래부터 있었는데 일주일 전부터 심해졌어요.
Q0020,통증 발생시점,onset,예전에도 아프긴 했는데 어제부터는 진짜 너무 아파요.
Q0020,통증 발생시점,onset,어제부터 심해졌어요.
Q0020,통증 발생시점,onset,3일 전부터 아팠습니다.
Q0020,통증 발생시점,onset,일주일 전부터 시작됐어요.
Q0020,통증 발생시점,onset,한 달 전부터 조금씩 아팠습니다.
Q0020,통증 발생시점,onset,2개월 정도 됐어요.
Q0020,통증 발생시점,onset,1년 넘게 반복됐습니다.
Q0020,통증 발생시점,onset,교통사고 이후부터 아팠어요.
Q0020,통증 발생시점,onset,무거운 물건 들고 나서 생겼어요.
Q0021,통증 발생시점,onset,어제부터 되게 심하게 아프네요
Q0021,통증 발생시점,onset,오른쪽 무릎이 며칠 전부터 계속 시큰거리고 걸을 때마다 아프거든요.
Q0021,통증 발생시점,onset,1주일 전부터 발가락이 쑤시고 아파요.
Q0021,통증 발생시점,onset,허리 불편한 지는 2개월 정도 됐어요.
Q0021,통증 발생시점,onset,다리 통증은 한 10년도 넘었어요.
Q0021,통증 발생시점,onset,한달 전부터 갈비뼈 쪽이나 왼쪽 쪽으로 약간씩 아프더라고요.
Q0021,통증 발생시점,onset,조금씩 아프기 시작한 지가 한 1년 됐고요.
Q0021,통증 발생시점,onset,(교통)사고가 나고 나서부터 불편해졌지만 그땐 참을만했었는데.
Q0021,통증 발생시점,onset,저번에 약을 조금 바꿨는데 그 약을 먹고 나서부터 심장 쪽 주변이 되게 아프고요.
Q0021,통증 발생시점,onset,그때부터 꼬리뼈가 아프기 시작했어요
Q0021,통증 발생시점,onset,통증은 원래부터 있었는데 일주일 전부터 심해졌어요.
Q0021,통증 발생시점,onset,예전에도 아프긴 했는데 어제부터는 진짜 너무 아파요.
Q0021,통증 발생시점,onset,어제부터 심해졌어요.
Q0021,통증 발생시점,onset,3일 전부터 아팠습니다.
Q0021,통증 발생시점,onset,일주일 전부터 시작됐어요.
Q0021,통증 발생시점,onset,한 달 전부터 조금씩 아팠습니다.
Q0021,통증 발생시점,onset,2개월 정도 됐어요.
Q0021,통증 발생시점,onset,1년 넘게 반복됐습니다.
Q0021,통증 발생시점,onset,교통사고 이후부터 아팠어요.
Q0021,통증 발생시점,onset,무거운 물건 들고 나서 생겼어요.
Q0022,통증 양상,quality,허리가 쑤시고 아파요
Q0022,통증 양상,quality,다리가 찌릿찌릿 저려요
Q0022,통증 양상,quality,목이 뻐근하고 무거운 느낌이에요
Q0022,통증 양상,quality,발이 화끈거리고 타는 듯 아파요
Q0022,통증 양상,quality,무릎이 묵직하게 아파요
Q0022,통증 양상,quality,손가락이 날카롭게 찌르는 것처럼 아파요
Q0022,통증 양상,quality,다리가 저린 느낌이에요
Q0022,통증 양상,quality,전기 오는 것처럼 찌릿해요
Q0022,통증 양상,quality,발목이 욱신욱신 아파요
Q0022,통증 양상,quality,무릎이 시큰시큰 아파요
Q0022,통증 양상,quality,쿡쿡 쑤십니다.
Q0022,통증 양상,quality,콕콕 찌르는 느낌이에요.
Q0022,통증 양상,quality,찌릿찌릿 저려요.
Q0022,통증 양상,quality,뻐근하고 무거워요.
Q0022,통증 양상,quality,화끈거리고 타는 듯해요.
Q0022,통증 양상,quality,묵직하게 눌리는 느낌입니다.
Q0022,통증 양상,quality,날카롭게 찌릅니다.
Q0022,통증 양상,quality,저린 느낌이 계속 있어요.
Q0022,통증 양상,quality,전기 오는 것처럼 찌릿해요.
Q0022,통증 양상,quality,욱신욱신 아파요.
Q0023,통증 양상,quality,허리가 쑤시고 아파요
Q0023,통증 양상,quality,다리가 찌릿찌릿 저려요
Q0023,통증 양상,quality,목이 뻐근하고 무거운 느낌이에요
Q0023,통증 양상,quality,발이 화끈거리고 타는 듯 아파요
Q0023,통증 양상,quality,무릎이 묵직하게 아파요
Q0023,통증 양상,quality,손가락이 날카롭게 찌르는 것처럼 아파요
Q0023,통증 양상,quality,다리가 저린 느낌이에요
Q0023,통증 양상,quality,전기 오는 것처럼 찌릿해요
Q0023,통증 양상,quality,발목이 욱신욱신 아파요
Q0023,통증 양상,quality,무릎이 시큰시큰 아파요
Q0023,통증 양상,quality,쿡쿡 쑤십니다.
Q0023,통증 양상,quality,콕콕 찌르는 느낌이에요.
Q0023,통증 양상,quality,찌릿찌릿 저려요.
Q0023,통증 양상,quality,뻐근하고 무거워요.
Q0023,통증 양상,quality,화끈거리고 타는 듯해요.
Q0023,통증 양상,quality,묵직하게 눌리는 느낌입니다.
Q0023,통증 양상,quality,날카롭게 찌릅니다.
Q0023,통증 양상,quality,저린 느낌이 계속 있어요.
Q0023,통증 양상,quality,전기 오는 것처럼 찌릿해요.
Q0023,통증 양상,quality,욱신욱신 아파요.
Q0024,통증 양상,quality,허리가 쑤시고 아파요
Q0024,통증 양상,quality,다리가 찌릿찌릿 저려요
Q0024,통증 양상,quality,목이 뻐근하고 무거운 느낌이에요
Q0024,통증 양상,quality,발이 화끈거리고 타는 듯 아파요
Q0024,통증 양상,quality,무릎이 묵직하게 아파요
Q0024,통증 양상,quality,손가락이 날카롭게 찌르는 것처럼 아파요
Q0024,통증 양상,quality,다리가 저린 느낌이에요
Q0024,통증 양상,quality,전기 오는 것처럼 찌릿해요
Q0024,통증 양상,quality,발목이 욱신욱신 아파요
Q0024,통증 양상,quality,무릎이 시큰시큰 아파요
Q0024,통증 양상,quality,쿡쿡 쑤십니다.
Q0024,통증 양상,quality,콕콕 찌르는 느낌이에요.
Q0024,통증 양상,quality,찌릿찌릿 저려요.
Q0024,통증 양상,quality,뻐근하고 무거워요.
Q0024,통증 양상,quality,화끈거리고 타는 듯해요.
Q0024,통증 양상,quality,묵직하게 눌리는 느낌입니다.
Q0024,통증 양상,quality,날카롭게 찌릅니다.
Q0024,통증 양상,quality,저린 느낌이 계속 있어요.
Q0024,통증 양상,quality,전기 오는 것처럼 찌릿해요.
Q0024,통증 양상,quality,욱신욱신 아파요.
Q0025,통증 양상,quality,허리가 쑤시고 아파요
Q0025,통증 양상,quality,다리가 찌릿찌릿 저려요
Q0025,통증 양상,quality,목이 뻐근하고 무거운 느낌이에요
Q0025,통증 양상,quality,발이 화끈거리고 타는 듯 아파요
Q0025,통증 양상,quality,무릎이 묵직하게 아파요
Q0025,통증 양상,quality,손가락이 날카롭게 찌르는 것처럼 아파요
Q0025,통증 양상,quality,다리가 저린 느낌이에요
Q0025,통증 양상,quality,전기 오는 것처럼 찌릿해요
Q0025,통증 양상,quality,발목이 욱신욱신 아파요
Q0025,통증 양상,quality,무릎이 시큰시큰 아파요
Q0025,통증 양상,quality,쿡쿡 쑤십니다.
Q0025,통증 양상,quality,콕콕 찌르는 느낌이에요.
Q0025,통증 양상,quality,찌릿찌릿 저려요.
Q0025,통증 양상,quality,뻐근하고 무거워요.
Q0025,통증 양상,quality,화끈거리고 타는 듯해요.
Q0025,통증 양상,quality,묵직하게 눌리는 느낌입니다.
Q0025,통증 양상,quality,날카롭게 찌릅니다.
Q0025,통증 양상,quality,저린 느낌이 계속 있어요.
Q0025,통증 양상,quality,전기 오는 것처럼 찌릿해요.
Q0025,통증 양상,quality,욱신욱신 아파요.
Q0026,통증 양상,quality,허리가 쑤시고 아파요
Q0026,통증 양상,quality,다리가 찌릿찌릿 저려요
Q0026,통증 양상,quality,목이 뻐근하고 무거운 느낌이에요
Q0026,통증 양상,quality,발이 화끈거리고 타는 듯 아파요
Q0026,통증 양상,quality,무릎이 묵직하게 아파요
Q0026,통증 양상,quality,손가락이 날카롭게 찌르는 것처럼 아파요
Q0026,통증 양상,quality,다리가 저린 느낌이에요
Q0026,통증 양상,quality,전기 오는 것처럼 찌릿해요
Q0026,통증 양상,quality,발목이 욱신욱신 아파요
Q0026,통증 양상,quality,무릎이 시큰시큰 아파요
Q0026,통증 양상,quality,쿡쿡 쑤십니다.
Q0026,통증 양상,quality,콕콕 찌르는 느낌이에요.
Q0026,통증 양상,quality,찌릿찌릿 저려요.
Q0026,통증 양상,quality,뻐근하고 무거워요.
Q0026,통증 양상,quality,화끈거리고 타는 듯해요.
Q0026,통증 양상,quality,묵직하게 눌리는 느낌입니다.
Q0026,통증 양상,quality,날카롭게 찌릅니다.
Q0026,통증 양상,quality,저린 느낌이 계속 있어요.
Q0026,통증 양상,quality,전기 오는 것처럼 찌릿해요.
Q0026,통증 양상,quality,욱신욱신 아파요.
Q0027,통증 양상,quality,허리가 쑤시고 아파요
Q0027,통증 양상,quality,다리가 찌릿찌릿 저려요
Q0027,통증 양상,quality,목이 뻐근하고 무거운 느낌이에요
Q0027,통증 양상,quality,발이 화끈거리고 타는 듯 아파요
Q0027,통증 양상,quality,무릎이 묵직하게 아파요
Q0027,통증 양상,quality,손가락이 날카롭게 찌르는 것처럼 아파요
Q0027,통증 양상,quality,다리가 저린 느낌이에요
Q0027,통증 양상,quality,전기 오는 것처럼 찌릿해요
Q0027,통증 양상,quality,발목이 욱신욱신 아파요
Q0027,통증 양상,quality,무릎이 시큰시큰 아파요
Q0027,통증 양상,quality,쿡쿡 쑤십니다.
Q0027,통증 양상,quality,콕콕 찌르는 느낌이에요.
Q0027,통증 양상,quality,찌릿찌릿 저려요.
Q0027,통증 양상,quality,뻐근하고 무거워요.
Q0027,통증 양상,quality,화끈거리고 타는 듯해요.
Q0027,통증 양상,quality,묵직하게 눌리는 느낌입니다.
