origin,gloss,category
11896,"갑자기,갑작스럽다,별안간,갑작스레",기타
651,"방뇨,소변,오줌",기타
5468,목,인간 > 신체 부위 및 내부 구성
6706,"달다,당분",기타
8150,온도,자연 > 날씨 및 온도
12778,"뒤엎다,뒤집어엎다,그러나,그런데,그렇지만,하지만",기타
3573,"미-,미처,아직",기타
6726,"길다,오래다,오래",인간 > 용모
6031,알다,인간 > 인지 행위
7497,"모두,온통,전부,전체,제반,모든,온,다,모조리,몽땅,죄다",개념 > 양
3261,"요즘,요사이,요새,요즈음,최근",개념 > 시간
12028,"엉덩이,궁둥이,볼기,히프",인간 > 신체 부위 및 내부 구성
10100,"그다음,다음",개념 > 순서
9614,"조절,조정",기타
12255,"손,맨손",인간 > 신체 부위 및 내부 구성
4535,"나쁘다,악,못되다,악하다",기타
7796,소화,인간 > 생리 현상
11931,모르다,인간 > 인지 행위
3810,"관계없다,막론하다,무관하다,상관없다,상관하지 않다",기타
10897,"이외,기타",기타
23851,"둘,이",개념 > 수
7491,"뜨겁다,화끈",자연 > 날씨 및 온도
6801,"때문,바람,탓,말미암다,인하다,-니까",기타
4765,"걱정,근심,상심,시름,염려,우수,괴롭다",인간 > 감정
11602,"머리,뇌,두뇌",인간 > 신체 부위 및 내부 구성
6564,"술,알코올",식생활 > 음료
10877,"유익,이익,이득,이롭다",기타
5780,불면,기타
10440,"못하다,할 수 없다",인간 > 능력
7687,"부터,이래",기타
8307,"주다,내밀다,내주다,건네주다,제공,교부",사회생활 > 사회 활동
24022,"시작,개시,개최,거행,시발,착수,출발,열다",개념 > 순서
11796,가다,인간 > 신체 행위
11779,"일반,대개,보통,평범하다",기타
5397,(신체의)눈,인간 > 신체 부위 및 내부 구성
7362,다니다,삶 > 삶의 행위
7336,"기다리다,대기",사회생활 > 사회 활동
7689,"부피,양",개념 > 모양
8410,"집,주택,가옥,세대,호,댁",주생활 > 건물 종류
5644,목적,기타
7953,"심호흡,호흡,공기,냄새,대기,목숨,생명,수,수명,숨,숨결,숨쉬다",기타
12710,"꼭,약속,-야,필수,필시",기타
9670,"추위,냉각,북,한랭,차다,춥다",자연 > 날씨 및 온도
23865,매일,개념 > 시간
8219,어지럽다,인간 > 감각
4998,"집행,활동,활약",기타
48,"내키다,싶다,원하다,바라다,소원,바람,욕구,염원,원",인간 > 감정
12756,"대략,대강,대충,약",개념 > 정도
10952,"알,계란,달걀",기타
11241,"밤,어둡다",기타
6835,가슴,인간 > 신체 부위 및 내부 구성
7666,"위험,험하다",기타
6437,보다,인간 > 신체 행위
2569,"아마도,아마,ㄹ 것이다",기타
12730,(온도가)내리다,기타
11238,"기운,힘",삶 > 병과 증상
11852,"제일,가장,맨,수석",개념 > 순서
10493,"참다,견디다,인내,자제,억제",기타
10239,혈압,삶 > 병과 증상
7277,"미래,다음,앞날,장래,장차,향후",개념 > 시간
8144,앞,개념 > 위치 및 방향
5697,유지,기타
11612,"명확하다,정확,똑똑하다,뚜렷하다,명료하다,명백하다,분명하다,선명하다,확실하다,단연",개념 > 성질
3478,"입석,서다",기타
7806,"얼마,몇",개념 > 정도
11287,"복귀,환원,되돌리다,그대로",사회생활 > 사회 활동
10474,"발생,생성,나다,나오다,돋다,생기다,솟다,트다",기타
8391,"방어,방지,수비,막다,저지,거절,차단",기타
4623,"곳,위치,장소",개념 > 지역
908,"대다수,대부분,주로",기타
11735,없어지다,기타
6935,"계약,맺다",경제생활 > 경제 행위
10981,물,식생활 > 음료
5989,"이전,전",기타
6436,"보다,시각",개념 > 정도
22,"당부,부탁,요청,청하다,요구",사회생활 > 사회 활동
24024,들,경제생활 > 경제 행위 장소
7776,아까,개념 > 시간
7833,"반복,거듭,수시로,자꾸,자주,잦다",기타
12438,"피곤,피로",삶 > 삶의 상태
6422,"멀미,메스껍다",인간 > 생리 현상
6637,"동안,사이",개념 > 시간
6765,"가렵다,긁다",인간 > 감각
9543,"잘하다,잘",인간 > 능력
7094,쥐,동식물 > 동물류
6368,깨다,삶 > 삶의 행위
11524,"까닭,뜻,명목,의미,이유,이치,뜻하다",기타
10155,일등,개념 > 순서
8407,"얼굴,낯,안면",인간 > 신체 부위 및 내부 구성
6085,"독,독하다",기타
8014,약하다,삶 > 병과 증상
11203,"갈다,바꾸다,교대,교체,변경,변동",기타
6870,가깝다,기타
4573,"나타나다,드러나다,출현",기타
14442,복부,인간 > 신체 부위 및 내부 구성
2622,적 없다,기타
23862,"마찬가지,피장파장",기타
24029,"삼,셋",개념 > 수
8030,전문,기타
8308,"입,이론",인간 > 신체 부위 및 내부 구성
1443,합당하다,기타
10789,"신기하다,교묘하다,묘하다,오묘하다,이상",기타
7729,그대로,기타
11047,따로,기타
5956,크다,개념 > 정도
7951,심장,인간 > 신체 부위 및 내부 구성
8328,"바람,바람이 불다",기타
10433,"모습,꼴,모양,상태,상황,장면,형상,형용,형태",개념 > 모양
11197,가져오다,사회생활 > 사회 활동
6749,"담배,흡연",기타
12211,"봉사,공양,기증,제출,드리다,바치다",기타
11606,며칠,개념 > 시간
301,"고루고루,유사,근사하다,비슷하다,흡사",개념 > 모양
12723,"날마다,나날,매번,매일,수시,일상,늘,매양,번번이,언제나,항상",기타
6277,마시다,식생활 > 식사 및 조리
9359,"감염,전염,옮다,걸리다",삶 > 병과 증상
9772,"돌아서다,갈다,교체하다,대체하다",기타
9877,차이,개념 > 정도
12432,"결백,깔끔하다,깨끗하다,말끔하다,산뜻하다,소박하다,순결,순수,정결,청결",기타
5946,"고기,가죽,살",식생활 > 식재료
4510,교사,사회생활 > 직업
930,"행동,거동,동작,짓,품행,행실,행위,움직이다,행하다",기타
5447,"돕다,거들다,기여,도움,보조,원조,지원,찬조",사회생활 > 사회 활동
6629,"넘어지다,쓰러지다",인간 > 신체 행위
10544,"특히,각별,별,특별,특수",기타
12592,완전하다,기타
11501,"근면,열성,열심",기타
23933,답,사회생활 > 언어
10515,"피차,둘이",기타
9377,"결정,정하다",인간 > 인지 행위
3246,"입증,증명",기타
11829,칭찬,사회생활 > 언어
6864,(신체의)등,인간 > 신체 부위 및 내부 구성
11440,"애매하다,가물거리다,가물대다,불분명하다,막연하다,묘연하다,아물거리다,흐리다,희미하다,모호,불확실,어렴풋이",기타
9389,"곤충,벌레",동식물 > 곤충류
12035,"왼쪽,좌측,좌",개념 > 위치 및 방향
23903,오락가락,기타
12168,"불량,결함",개념 > 성질
11500,"근로,근무,노동,일,작업",기타
8904,"싶다,갈급",기타
7059,"이름,명,성명,성함",기타
8431,첫째,개념 > 순서
11547,"낮,대낮,백주,밝다,새다,트다,환하다,훤하다",개념 > 시간
11518,기침,인간 > 생리 현상
10435,"모자라다,결손,결핍,부족",개념 > 양
8620,"귀중하다,중요,막중하다,소중하다",인간 > 감정
6573,"쉬다,휴가,휴게,휴식,휴양",삶 > 여가 생활
6774,"가지다,갖다,지니다,취하다",기타
6933,"계산,수,셈,세다¹,헤아리다",경제생활 > 경제 행위
23874,"바닥나다,비다,비우다",기타
10403,"만큼,어치,정도,-쯤",기타
5675,"벌써,삽시간,어느덧,어느새,어언간,이미",개념 > 시간
6636,동시,개념 > 시간
12382,"초과,지나치다",기타
10793,"신중,경계,조심,주의,준수,지키다",인간 > 성격 및 태도
11065,"마찬가지,같다,동일,맞다,동,똑같다",기타
11526,"깨,세부,정밀,상세하다,세밀하다,자세하다,찬찬하다,치밀하다,샅샅이,꼼꼼 ",식생활 > 식재료
3024,"백,하양,하얗다,허옇다,희다,백색,흰색,치아,이,이빨",개념 > 색깔
10454,"묵직하다,무겁다",개념 > 성질
5522,"노력,안간힘,공들이다,애쓰다,힘쓰다",기타
6320,"늘다,늘이다,늘리다",개념 > 양
11559,"년,해",개념 > 시간
11053,"똥,대변",기타
1397,"함께,같이,동반,랑,아울러,더불다,-끼리",사회생활 > 사회 활동
9115,발견,기타
537,"팔,팔뚝",인간 > 신체 부위 및 내부 구성
12190,"절반,반",개념 > 정도
10026,"관철,관통,꿰뚫다,알아맞히다",기타
9147,원래,기타
11301,"(시간)시,시간",개념 > 시간
23958,"서두르다,긴급,독촉,재촉,응급,급하다,시급하다",기타
23996,"비교,견주다,대조",기타
3663,궁금하다,인간 > 인지 행위
1283,만료,기타
971,"화장실,변소",주생활 > 주택 구성
7224,"어느,무엇,어떤,무슨",개념 > 의문
15149,폐,인간 > 신체 부위 및 내부 구성
4302,팔꿈치,인간 > 신체 부위 및 내부 구성
7235,"절다,절룩거리다,절름거리다",인간 > 신체 행위
10737,속,개념 > 위치 및 방향
9297,"하루,온종일,종일",개념 > 시간
12071,일치,기타
5456,(혈액의)순환,기타
3678,"관계,관련,상관,연관",사회생활 > 인간관계
10720,설명,사회생활 > 언어
914,"게우다,구토,토하다",기타
10402,"만족,여유,자신,충족,넉넉하다,늠름하다,당당하다,떳떳하다,충분하다,푸짐하다,풍부하다,듬뿍,실컷",인간 > 감정
11378,바르다,삶 > 치료
8291,"살다,삶,생활",삶 > 삶의 행위
6036,"오른쪽,우측",개념 > 위치 및 방향
9928,"지각,지체,늦다,굼뜨다,느리다,더디다,천천하다,서서히",교육 > 교수 학습 행위
12104,"사용,소비,쓰다",기타
11916,"가만있다,멈추다,멎다",기타
5577,새벽,개념 > 시간
7477,"죽다,돌아가다,사거,사망,서거,숨지다,죽음,임종",삶 > 삶의 행위
24704,"이론,쓰다",기타
9390,"곧다,단정하다,똑바르다,바르다,반듯하다,올바르다,점잖다,똑바르다,올곧다,정하다",개념 > 모양
11833,"답답하다,갑갑하다",인간 > 감정
5504,"변하다,변질,변화,변환,돌아서다",기타
3956,"셋째,세 번째",개념 > 순서
12264,"수면,숙박,잠,기숙사,자다",삶 > 삶의 행위
8993,"종류,가지,종목,종,다각,다각도",기타
6043,"신경질,짜증",인간 > 감정
8355,실수,삶 > 삶의 행위
7170,"신청,주문",사회생활 > 사회 활동
9351,"가만히,조용하다",인간 > 성격 및 태도
6288,물건,기타
10270,"발걸음,발자국,밟다",기타
6265,"선언,천명",사회생활 > 언어
23841,"넷,사",개념 > 수
7695,살찌다,인간 > 용모
11371,"별로,그다지",개념 > 정도
8233,복구,기타
1768,"맞다,딱",기타
24028,"시간,한 시간",개념 > 시간
11814,되풀이,기타
17210,두려움,인간 > 감정
11845,당신,개념 > 인칭
11634,"문의,물음,질문,묻다,물어보다,여쭈다,여쭙다,-ㅂ니까",사회생활 > 언어
11564,"논의,상담,상의,의논",사회생활 > 언어
12326,"짓다,공작,작성,제작,제조,만들다,가공",기타
9846,"없다,비다",기타
10741,"솔직하다,정직",인간 > 성격 및 태도
11467,"굉장하다,심하다,심각하다",개념 > 정도
7876,"유방,젖",기타
3706,귀,인간 > 신체 부위 및 내부 구성
7558,"기억,암기,외다,외우다",인간 > 인지 행위
7323,미리,개념 > 시간
9426,제거,기타
6509,높다,개념 > 모양
6546,돌,자연 > 지표면 사물
11349,과,교육 > 전공과 교과목
6929,"계단,층계",주생활 > 주택 구성
7730,"맞지 않다,적합하지 않다",기타
7160,"옷,의복,의상",의생활 > 옷 종류
11785,"자기,스스로,자체,혼자,홀로,자발",개념 > 인칭
10696,"삼,인삼",식생활 > 식재료
6885,"가입,등록",기타
8119,찾다,기타
5279,이따가,개념 > 시간
12177,"노랑,노랗다,누렇다",개념 > 색깔
12053,"양분,영양,영양분,자양분",기타
12329,짧다,개념 > 모양
12919,"신선하다,새롭다",기타
10994,"단계,절차",기타
1276,"막다,막히다,먹다",기타
12857,"내부,안,이내,내용",개념 > 지역
23852,들다,인간 > 신체 행위
7251,"이야기,강의,설교",사회생활 > 언어
11365,"의심,의회",기타
9128,부러지다,기타
8185,양말,"의생활 > 모자, 신발, 장신구"
10156,비지땀,기타
11055,"다섯,오",개념 > 수
11992,치매,삶 > 병과 증상
6281,"머무르다,존재,체류,계시다,묵다",삶 > 삶의 행위
4374,"날,해",개념 > 시간
4917,"임신,회임",기타
6109,수요일,개념 > 시간
103,"파랑,청색,파랗다,푸르다",개념 > 색깔
12852,백점,기타
9360,"감정,기분,정서",기타
11676,"퍼지다,만연,분산,유포,해산,해체,번지다,옮다,흩어지다",기타
6946,"절정,정상",기타
10385,마다,기타
12776,"두근거리다,불안,설레다,울렁거리다,조마조마하다,두근두근",인간 > 감각
23990,항복,기타
5308,"합치다,집합,합,모으다,모이다,합하다",기타
2715,"중지,끄다",기타
4703,"끈기,끈덕지다,끈질기다",인간 > 능력
7373,"닿다,밀착,붙다,붙이다",기타
12628,"푹,안식,편안,평안,편하다",기타
11965,"영향,끼치다,파급",기타
6391,"뚱뚱하다,비대,살찌다",인간 > 용모
5294,"풀이,세이프,수습,처리,해결,해소,풀다,해내다,조치",기타
5358,비싸다,경제생활 > 경제 상태
11419,"여덟,팔",개념 > 수
5511,"낳다,나다,태어나다,분만,생식,출산,출생,탄생,해산",인간 > 신체 행위
10635,"부드럽다,스펀지,말랑하다,무르다,물렁하다,보드랍다,유연하다,물렁물렁",개념 > 성질
11571,"다급하다,성급하다,조급하다",개념 > 속도
4571,"감싸다,둘러싸다,에워싸다",기타
10055,판이하다,기타
11813,"고난,고생,고초,고통",삶 > 삶의 상태
4408,"개인,사",기타
10448,"무쇠,쇠,철",기타
610,"두절,끊어지다",기타
7060,이마,인간 > 신체 부위 및 내부 구성
8239,"사람,인간,분,이,자,-민",기타
11172,"매진,고갈,소모,동나다,매진되다,바닥나다,없애다,다 팔리다",기타
14866,(신체기관)장,인간 > 신체 부위 및 내부 구성
11147,"내용,경과,내역,사항",기타
8889,"(시간)시,시간",기타
12684,"억지,강제,형벌,징계,꼬집다,벌,징벌",인간 > 성격 및 태도
6015,"지루하다,따분하다",기타
8408,"연락,연결",사회생활 > 사회 활동
11217,"거행,하다",기타
12619,"알 수 없다,이해가 안 되다,아리송하다",기타
6836,"가시,날카롭다,뾰족하다,예리하다,예민하다",동식물 > 동물의 부분
5582,"색깔,빛깔,색,색상,색채,컬러",개념 > 색깔
11875,설사,삶 > 병과 증상
6574,"쉽다,용이하다,쉽사리",인간 > 능력
6408,"갈등,마찰,거북하다,껄끄럽다",인간 > 감정
7857,"운전,핸들",사회생활 > 교통
5081,"하찮다,보잘 것 없다",기타
5372,대장,인간 > 신체 부위 및 내부 구성
5479,"무게,중량",개념 > 성질
5394,"누구,누가,뉘",개념 > 의문
9175,"사진,찍다",문화 > 예술
12818,"것,몫,소유",기타
5984,"안심,안전,안정",인간 > 감정
10768,스타일,기타
8752,"앞당기다,당기다,잡아당기다",기타
6417,"듣다,소리,소식,청각",인간 > 신체 행위
10533,"통역,매개,변호,소개",사회생활 > 언어
23826,가져가다,사회생활 > 사회 활동
9714,겹치다,기타
12034,외출,삶 > 삶의 행위
24032,배부르다,기타
6631,"넣다,담그다",인간 > 신체 행위
12442,"곧,금명간,신속,이르다,냉큼,빨리,속히,썩,어서,얼른,이내,일찍,일찍이,-자",개념 > 시간
6376,다행,기타
11510,"금전,돈,화폐",경제생활 > 경제 수단
1072,"혀,혓바닥",인간 > 신체 부위 및 내부 구성
7866,"열두시,정오",기타
437,"난항,어려워하다,어렵다",기타
12397,"칠,일곱",개념 > 수
10477,"발표,광고,표시,표현,나타내다,드러내다",기타
9356,"갇히다,구류,하지 못하게 하다,지배",기타
5958,"맥박,맥",기타
1041,"호흡,공기,냄새,대기,목숨,생명,수,수명,숨,숨결,숨쉬다",인간 > 신체 행위
6275,마비,삶 > 병과 증상
1183,"지위,앉다",사회생활 > 직장 생활
4426,"타자,타이핑",기타
1722,"남쪽,남,따뜻하다,포근하다",개념 > 위치 및 방향
9917,"죄송하다,사과,미안하다",인간 > 감정
12841,"육,여섯",개념 > 수
12102,자신,개념 > 인칭
9967,"칼,나이프",식생활 > 식사 및 조리
12687,"여성,부녀,부녀자,여인,여자,계집",인간 > 사람의 종류
10698,삼월,개념 > 시간
10423,"-면,임시,그러면",기타
10531,토요일,개념 > 시간
1502,"감당,사명,책임,담당,소임,역임,맡다,책임지다",기타
6032,"알맞다,적정,적당하다,적절하다",개념 > 정도
7222,"어긋나다,엇갈리다",기타
828,"가라앉히다,냉각,가라앉다",기타
8380,복사,기타
11316,"악취,나쁜 냄새",기타
12429,겉,개념 > 위치 및 방향
11427,"오너라,오라",기타
10265,차기,기타
6071,수영,삶 > 운동 및 경기
7585,금요일,개념 > 시간
9746,"나이,나잇살,살,연령,연세",기타
6492,"덥다,더위",자연 > 날씨 및 온도
969,화요일,개념 > 시간
735,"동결,얼다",기타
10631,"복장,입다",의생활 > 의복 착용
6153,"버리다,폐기,폐하다",기타
11436,안 보이다,기타
6875,"검정,검다,까맣다",개념 > 색깔
10555,팔월,개념 > 시간
6053,침대,주생활 > 생활 용품
11356,"단위,제한,한계,한도,한정",기타
9733,"담그다,잠기다",식생활 > 식사 및 조리
12642,벽,주생활 > 주택 구성
5670,"번호,번,숫자",개념 > 수
10949,"안녕,안부",삶 > 삶의 상태
11085,"무겁다,부담",개념 > 성질
9542,잘못,기타
2792,"거치다,방해,지장",기타
6524,선풍기,주생활 > 생활 용품
7229,"전화,전화기",사회생활 > 소통
12645,"부진,퇴보,퇴화,하강,하락,후퇴",인간 > 능력
12757,"대리,대신,대치,대체,전환,바꾸다",기타
6640,"맡기다,임명",기타
6635,교통사고,사회생활 > 교통
1475,"더미,무궁무진,무진장,산더미",기타
3404,벗다,의생활 > 의복 착용
11914,남,개념 > 위치 및 방향
11478,"구입,쇼핑,매수,사다",경제생활 > 경제 행위
11219,"건너다,횡단,건너다,넘다,넘어가다,침범",사회생활 > 교통
10596,재활,삶 > 치료
9102,보람,인간 > 감정
11126,"확장,넓힘",기타
11463,"유예,연기,물리다,미루다",기타
23846,대립,기타
10919,"십,열",개념 > 수
4307,"혼신,온몸",기타
6096,"수고,노고,품",기타
2022,"곤두박질,곤두질,떨어지다",기타
6433,"보내다,파견",사회생활 > 사회 활동
7700,"우울,울상,시무룩하다",인간 > 감정
7312,맵다,식생활 > 식사 및 조리
9832,"어린이,새끼,아이,어린아이,소아",인간 > 사람의 종류
2374,"값,대금",경제생활 > 경제 수단
7972,반찬,식생활 > 음식
6127,목요일,개념 > 시간
6279,"마음,심리,심정",인간 > 인지 행위
10472,밖에,기타
7752,"의지,기대다",기타
4561,(눈을)감다,인간 > 신체 행위
5051,"쉰,오십",개념 > 수
7732,"전기,전자",기타
18165,고난,삶 > 삶의 상태
3900,달라다,기타
4607,"테니스,정구",삶 > 운동 및 경기
9217,센터,정치와 행정 > 공공 기관
7377,"(쌀이)떨어지다,(쌀이)바닥나다",기타
11058,"떨다,떨리다,떨림",인간 > 신체 행위
10824,"예,끄덕이다",기타
8673,"장애,병신,제대로 안되다",기타
11554,내쉬다,인간 > 신체 행위
9423,점차,개념 > 시간
6223,"더럽다,때,불결,지저분하다",주생활 > 주거 상태
12411,"가르다,나누다,구별,구분,분류,분별,분할,유별",기타
12051,옮기다,기타
8597,"귀신,마귀,사탄,악마,유령",기타
10771,"습관,버릇",삶 > 삶의 행위
363,"누락,빠지다",기타
11797,"기회,찬스",개념 > 시간
6715,"기계,장치",기타
2238,"상하다,다치다,부상,상처,손상",삶 > 병과 증상
10488,"골몰,전념,집중,골똘하다",기타
11495,"그릇되다,틀리다",개념 > 성질
7042,코,인간 > 신체 부위 및 내부 구성
32,"균형,대등,수평,평등,표준,평평하다",기타
12922,유월,개념 > 시간
10990,구월,개념 > 시간
9103,보류,기타
9650,찌르다,인간 > 신체 행위
11113,"형형색색,가지각색,각양각색",기타
7528,"멍하다,멍하니",기타
5776,"불구,장애",기타
10393,"마침,딱 맞다,알맞다",기타
6212,대학교,교육 > 교육 기관
23951,복사,기타
12165,만나다,사회생활 > 사회 활동
7392,"간단하다,간략하다,간편하다,단순,편리,편의",기타
9875,(공간이)차다,기타
7958,"아래,이하,후배,하류,하",개념 > 위치 및 방향
9011,차,식생활 > 음료
10231,화장,삶 > 삶의 행위
10085,"뒤따르다,수행,따라가다,따르다,좇다,쫓다,쫓아가다",기타
12792,십이월,개념 > 시간
12891,사월,개념 > 시간
7437,경계,인간 > 인지 행위
4463,"탑승,오르다,올라서다,올라타다,타다",사회생활 > 교통
6138,무뚝뚝하다,인간 > 성격 및 태도
7488,"멍,멍들다",삶 > 병과 증상
14132,검진,삶 > 치료
6450,"너,네,자네",개념 > 인칭
7082,전통,문화 > 전통 문화
7744,"젊다,청춘",인간 > 용모
5560,대학,교육 > 교육 기관
10391,"마지못하다,무릅쓰다,불구하다",인간 > 성격 및 태도
23946,"무조건,무작정",기타
11915,"가르치다,교육,교수하다",교육 > 교수 학습 행위
5957,매주,개념 > 시간
31,"균일,동일,골고루,일제히",기타
801,"경과,흐르다",기타
5275,"복판,가운데,중심,한가운데",기타
8316,(맛이)쓰다,사회생활 > 언어
11707,"저축,예금,적금",경제생활 > 경제 행위
11611,"명령,분부",사회생활 > 언어
12240,"선택,뽑다,선발,선출,택하다",경제생활 > 경제 행위
8026,칠월,개념 > 시간
7478,"죽이다,해치다",기타
9522,짜다,인간 > 신체 행위
24033,설거지,주생활 > 가사 행위
2652,"월,달",개념 > 시간
10923,"십이,열둘",개념 > 수
8987,(공간이)좁다,기타
23875,받다,사회생활 > 사회 활동
2000,"양치질,양치",삶 > 삶의 행위
11656,버스,사회생활 > 교통
6905,등산,기타
9142,"분석,해석",인간 > 인지 행위
2325,"마이너스,감표,덜기,빼기,빼기표,뺄셈표,뺄셈 부호",개념 > 수
8670,"절대,절대로,한사코",기타
23873,바닥,기타
8384,"복잡하다,산만하다",기타
10998,가볍다,개념 > 성질
8230,월요일,개념 > 시간
12707,"구,아홉",개념 > 수
10284,"할머니,조모",삶 > 가족 관계 및 행사
2361,"꺾다,부러지다",기타
4182,"진단,진료,진찰,검진",삶 > 치료
3679,"근본,기반,기본,기초,바탕,뿌리",기타
15635,"오디오,듣다,소식,청각",주생활 > 생활 용품
22277,회사,사회생활 > 직장 생활
8271,위,인간 > 신체 부위 및 내부 구성
11780,"일월,정월",개념 > 시간
6597,"망설이다,주저,머무적거리다,머뭇거리다,서슴다",인간 > 인지 행위
5676,"붙들다,검거,붙잡다,잡다",기타
2623,정신,인간 > 감각
5947,"고기,물고기,생선,헤엄치다",식생활 > 식재료
8002,"오전,상오",개념 > 시간
7410,두껍다,개념 > 모양
11413,"세면,세수,씻다",기타
9077,종합,기타
11568,누르다,인간 > 신체 행위
7816,(가진 것이)없다,기타
6456,"맛있다,맛나다,맛",식생활 > 식사 및 조리
5025,"오후,하오",개념 > 시간
2231,"일출,동,아침,(해가)돋다",자연 > 날씨 및 온도
128,털,인간 > 신체 부위 및 내부 구성
9937,"체념,기권,포기",기타
2470,"상류,선배,위,이상",기타
82,풍선,기타
7771,"자전거,사이클",사회생활 > 교통
1384,한꺼번에,기타
7372,당황,인간 > 성격 및 태도
7066,"이불,침구,덮다",주생활 > 생활 용품
6294,모기,동식물 > 곤충류
23960,"싫다,거부,거절,난색",기타
6927,경험,인간 > 인지 행위
12765,"더하기,플러스",개념 > 수
3721,날씬하다,인간 > 용모
7197,"은혜,은총",사회생활 > 사회 활동
11,"-국,국가,나라",기타
4197,"탁구,핑퐁",삶 > 운동 및 경기
12518,"황홀,휘황하다,휘황찬란하다",기타
127,턱,인간 > 신체 부위 및 내부 구성
12173,"낮다,비하",개념 > 모양
3903,"달리기,달리다,뛰다",삶 > 여가 생활
12947,빠지다,기타
11063,"마약,아편,중독,탐닉",기타
835,"가시다,사라지다,상실",인간 > 신체 행위
24701,(맛이)짜다,사회생활 > 인간관계
12528,"넷,사",개념 > 수
649,"방관,방임,내버리다",기타
5993,"이해,납득",경제생활 > 경제 상태
8226,"월경,생리",기타
9365,"개별,각,각각,각기,개개,낱낱이,제각기",기타
9242,싱겁다,식생활 > 식사 및 조리
6462,무의미,기타
8300,일요일,개념 > 시간
6805,멸치,식생활 > 식재료
9956,"치아,이",인간 > 신체 부위 및 내부 구성
