question_id,question,stage,sub_category,answer_count,gloss_origins
Q0013,그러면 얼마나(점수) 되는 거 같으세요?,통증강도,pain_score,12,12674 12397 10137 8944 23962 10919 7828 24029 11311 10696 11055 11315 12707 11233 23841 12528 11237 11404 4408 11419 537 23851 11057 9956 8239 8009 3024 12573 11500 12841
Q0014,아픈 정도를 점수로 표시하면 얼마일까요?,통증강도,pain_score,12,12674 12397 10137 8944 23962 10919 7828 24029 11311 10696 11055 11315 12707 11233 23841 12528 11237 11404 4408 11419 537 23851 11057 9956 8239 8009 3024 12573 11500 12841
Q0015,불편한 정도는 어느 정도인지?,통증강도,severity,16,11467 7957 5621 4322 10403 7224 10493 4998 10440 6934 3468 3762 12415
Q0016,많이 아프세요?,통증강도,severity,10,10493 11467 4998 10440 10403 3468 7957 3762 12415 6934
Q0017,통증이 심하세요?,통증강도,severity,10,10493 11467 4998 10440 10403 3468 7957 3762 12415 6934
Q0018,언제부터 그랬어요?,통증 발생시점,onset,20,8218 3762 8303 9403 944 4322 10403 8602 7284 3752 5621 11004 12035 7957 6241 6486 6635 4542 6288
Q0019,언제부터 생긴 거죠?,통증 발생시점,onset,20,8218 3762 8303 9403 944 4322 10403 8602 7284 3752 5621 11004 12035 7957 6241 6486 6635 4542 6288
Q0020,[통증 부위] 언제부터 아프셨어요?,통증 발생시점,onset,20,8218 3762 8303 9403 944 4322 10403 5621 8602 7284 3752 11004 12035 7957 6241 6486 6635 4542 6288
Q0021,얼마나 되셨어요?,통증 발생시점,onset,20,8218 3762 8303 9403 944 4322 10403 7284 3752 5621 11004 12035 7957 6241 6486 6635 4542 6288
Q0022,쿡쿡/콕콕 쑤시나요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0023,찌릿찌릿하세요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0024,뻐근하세요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0025,화끈 거리세요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0026,묵직하세요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0027,날카롭게 아파요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0028,저리세요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0029,전기오는듯한 통증이세요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0030,욱신욱신 아프세요?,통증 양상,quality,20,944 7732 17068 10454 5621 7491 6737 12255 6182 7364 9650
Q0031,느끼시는 거는 어떠세요?,통증 양상,general,6,6450 11433 11931 12415 3261 5472
Q0032,아픈 것을 표현해 보세요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 9670 11568
Q0033,따가우세요?,통증 양상,quality,17,7732 17068 10454 5621 9650 7491 6737 6182 9670 11568
Q0034,불타는 듯한 통증인가요?,통증 양상,quality,17,7732 17068 10454 5621 9650 7491 6737 6182 9670 11568
Q0035,아프고 시린가요?,통증 양상,quality,17,7732 17068 10454 5621 9650 7491 6737 6182 9670 11568
Q0036,당기는 통증인가요?,통증 양상,quality,17,7732 17068 10454 5621 9650 7491 6737 6182 9670 11568
Q0037,시큰시큰한가요?,통증 양상,quality,17,7732 17068 10454 5621 9650 7491 6737 6182 9670 11568
Q0039,가만히 있을 때 저리세요?,통증 유발/완화 요인,sensory_trigger,18,3762 4998 1183 8966 6726 11514 9351 12779 9846 12415
Q0040,걸어 다니실 때 저리세요?,통증 유발/완화 요인,sensory_trigger,18,3762 4998 1183 8966 6726 11514 9351 12779 9846 12415
Q0041,움직이면 아프세요?,통증 유발/완화 요인,trigger_posture,20,3762 4998 1183 8966 6726 11514 9351 12779 6929 944 11518 5468 7223
Q0042,가만히 있어도 아프세요?,통증 유발/완화 요인,trigger_posture,20,3762 4998 1183 8966 6726 11514 9351 12779 6929 944 11518 5468 7223
Q0043,걸을 때 아프세요?,통증 유발/완화 요인,trigger_posture,20,3762 4998 1183 8966 6726 11514 9351 12779 6929 944 11518 5468 7223
Q0044,가만히 있을 때도 아프세요?,통증 유발/완화 요인,trigger_posture,20,3762 4998 1183 8966 6726 11514 9351 12779 6929 944 11518 5468 7223
Q0045,움직이실 때 여기 안 아프세요?,통증 유발/완화 요인,trigger_posture,20,3762 4998 1183 8966 6726 11514 9351 12779 6929 944 11518 5468 7223 8472
Q0046,앉아 있을 때가 많이 아프세요?,통증 유발/완화 요인,severity,18,3762 4998 1183 8966 6726 11514 9351 12779 10493 11467 10440 10403 3468 7957 12415 6934
Q0047,어떨 때 많이 아프세요?,통증 유발/완화 요인,severity,10,10493 11467 4998 10440 10403 3468 7957 3762 12415 6934
Q0048,찬물 먹거나 씹을 때 통증 있으세요?,통증 유발/완화 요인,dental_trigger,9,12415 5621 9351 6036
Q0049,통증때문에 화들짝 놀랄 때가 있으세요?,통증 동반증상,associated,20,12776 5621 12756 11990 8219 7828 10440 1397 17068 7364 6196 9846 8622
Q0050,울렁울렁 하거나 어지럽거나 그런 적은 없으시죠?,통증 동반증상,associated,20,12776 5621 12756 11990 8219 7828 10440 1397 17068 7364 6196 9846 8622
Q0051,잠은 잘 주무세요?,통증 동반증상,sleep,18,12776 5621 12756 11990 8219 7828 10440 1397 12264 4145 12779 7320 9846
Q0052,그거 통증 말고는 다른 증상은 없으세요?,통증 동반증상,associated,15,17068 7364 5621 6196 7828 12776 9846 8622 537 10440 651 18633 11053 9614
Q0053,약을 드시면 어디가 부어요?,통증 동반증상,swelling,8,7364 12255 6937 8407 7284 3752 8799 6036 11849 2231
Q0054,디스크 통증 이외에 관절통도 동반되나요?,통증 동반증상,associated,16,7364 8622 17068 5621 6196 7828 12776 9846 537 10440 651 18633 11053 9614
Q0055,아침과 저녁 중 언제 아프세요?,통증 시간대/상황별 변화,trigger_posture,20,11514 2231 11241 12264 4145 6934 11849 12779 7957 24028 11301 8889 1183 8966 6726 3762 6929 944 9351
Q0056,주로 아침에 일어날 때가 더 아프세요?,통증 시간대/상황별 변화,trigger_posture,20,11514 2231 11241 12264 4145 6934 11849 12779 7957 24028 11301 8889 1183 8966 6726 3762 6929 944 9351
Q0057,저녁에,통증 시간대/상황별 변화,time_variation,20,11514 2231 11241 12264 4145 6934 11849 12779 7957 24028 11301 8889 1183 8147 5025 9297 4998
Q0058,아침에 더 아프세요 저녁에 더 아프세요?,통증 시간대/상황별 변화,trigger_posture,20,11514 2231 11241 12264 4145 6934 11849 12779 7957 24028 11301 8889 1183 8966 6726 3762 6929 944 9351
Q0059,아침에 일어날 때 아프세요?,통증 시간대/상황별 변화,trigger_posture,20,11514 2231 11241 12264 4145 6934 11849 12779 7957 24028 11301 8889 1183 8966 6726 3762 6929 944 9351
Q0060,밤에 많이 아프세요?,통증 시간대/상황별 변화,severity,20,11514 2231 11241 12264 4145 6934 11849 12779 7957 24028 11301 8889 1183 10493 11467 4998 10440 10403 3468 3762
Q0061,아픈게 밤에 주무실 때에도 아프세요?,통증 시간대/상황별 변화,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 11241 7364 7857
Q0062,주무실 때가 더 아프세요?,통증 시간대/상황별 변화,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 7364 7857
Q0063,앉았다 일어설 때 아프세요?,통증 시간대/상황별 변화,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 7364 7857
Q0064,어떤 시간에 많이 아프세요?,통증 시간대/상황별 변화,severity,10,10493 11467 4998 10440 10403 3468 7957 3762 12415 6934
Q0065,언제 어떤 때 가장 아프세요?,통증 시간대/상황별 변화,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 8602 7224 11852 6886 7364 7857
Q0066,어떤 상황에서 많이 아프세요?,통증 시간대/상황별 변화,severity,10,10493 11467 4998 10440 10403 3468 7957 3762 12415 6934
Q0067,계속 아프세요?,통증 지속성/패턴,trigger_posture,20,6934 9297 12723 5621 9846 12415 5504 17068 11241 1403 5520 1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518
Q0068,통증이 일정하게 아파요?,통증 지속성/패턴,pattern,20,6934 9297 12723 5621 9846 12415 5504 17068 11241 1403 5520 4998 6726 3261
Q0069,간헐적으로 통증 있으세요?,통증 지속성/패턴,trigger_posture,20,6934 9297 12723 5621 9846 12415 5504 17068 11241 1403 5520 1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518
Q0070,하루종일그러세요(=아프세요)?,통증 지속성/패턴,pattern,20,6934 9297 12723 5621 9846 12415 5504 17068 11241 1403 5520 4998 6726 3261
Q0071,왔다갔다해요?,통증 지속성/패턴,pattern,20,6934 9297 12723 5621 9846 12415 5504 17068 11241 1403 5520 4998 6726 3261
Q0072,아팠다 안 아팠다 하시는 거예요?,통증 지속성/패턴,pattern,20,6934 9297 12723 5621 9846 12415 5504 17068 11241 1403 5520 4998 6726 3261
Q0073,그럼 한번 아프면 얼마나 가요?,통증 지속성/패턴,duration,8,10403 24028 11301 8889 9297 4795 1403 11796 12573 5520 6637
Q0074,(통증 오는) 빈도는요?,통증 지속성/패턴,frequency,8,5621 12415 23866 23865 12723 11241 6929 4463 11513 7833 10403
Q0075,결핵이나 간염이나 이런 것도 없으시죠?,과거질환,history,20,9846 10239 10419 8966 7390 9403 9466 11990 7367
Q0076,과거 아팠던 데가 있으세요?,과거질환,history,20,9846 10239 10419 8966 19582 8497 9403 9466 11990 7367 7390
Q0077,고혈압이나 당뇨 있으세요?,과거질환,history,12,9846 10239 8966 11990 10419 7367 7390
Q0078,다른 질환은 있으세요?,과거질환,history,12,9846 10239 8966 9862 11990 10419 7367 7390
Q0079,심장질환으로 지금도 병원 진료 받고 계신가요?,과거질환,history,13,24010 10964 23866 23865 12723 10419 8966 6990 4182 9846 10239 11990 7367 7390
Q0080,지금 약 드시는 거 있어요?,약물복용,medication_use,20,9846 11047 6990 8966 12415 10239 11990 10419 7367 1400 12053
Q0081,한약 드시는 거 없으세요?,약물복용,medication_use,20,9846 11047 1400 12415 8966 10239 11990 10419 7367 12053
Q0082,그러면 그 약 말고 다른 약 드시는 건 없으세요?,약물복용,medication_use,20,9846 11047 10423 12415 8966 10239 11990 10419 7367 1400 12053
Q0083,무슨 약을 드세요?,약물복용,medication_name,14,8966 10419 1276 7224 12495 11606 10239 11990 7367 11931
Q0084,지금 약 드시고 어지럽거나 하세요?,알레르기 및 약물반응,associated,20,9846 9466 8966 8219 12776 12756 11990 6765 17068 7364 6990 6196 7828 8622
Q0085,지금 드시는 약 부작용 같은 거 있어요?,알레르기 및 약물반응,adverse_reaction,20,9846 9466 8966 8219 12776 12756 11990 6765 1409 10474 6196 6835 17068 11467 6990 5621 7422
Q0086,약 부작용으로 고생하시거나 그런 적은 없으세요?,알레르기 및 약물반응,adverse_reaction,20,9846 9466 8966 8219 12776 12756 11990 6765 1409 10474 6196 6835 17068 11467 5621 7422
Q0087,모든 진통제에 다 부작용이 있으세요?,알레르기 및 약물반응,adverse_reaction,20,9846 9466 8966 8219 12776 12756 11990 6765 1409 10474 6196 6835 17068 11467 7497 5621 7422
Q0088,지금 약 드시는 거 부작용 있어요?,알레르기 및 약물반응,medication_use,20,9846 9466 8966 8219 12776 12756 11990 6765 11047 6990 12415 10239 10419 7367 1400 12053
Q0089,지금 드시는 약에 어떤 부작용이 있으세요?,알레르기 및 약물반응,adverse_reaction,10,9846 8219 12776 1409 10474 6196 6765 6835 17068 11467 6990 7224 5621 7422
Q0090,"개인병원에서 받은 약 드시고, 통증이 줄어들었어요?",알레르기 및 약물반응,medication_use,11,6001 11047 5621 12415 10239 11990 10419 7367 1400 12053 9846
Q0091,아니면 더 심해졌어요?,알레르기 및 약물반응,adverse_reaction,11,6001 9846 8219 12776 1409 10474 6196 6765 6835 17068 11467 5621 7422
Q0092,술 담배 하세요?,생활습관,lifestyle,20,6749 9403 10403 12415 4627 8303 23866 23865 12723 7584 11052 12495 7792
Q0093,담배는 끊은 지 오래 됐고요?,생활습관,lifestyle,20,6749 6726 9403 10403 12415 4627 8303 23866 23865 12723 7584 11052 12495 7792
Q0094,(담배) 지금도 피세요?,생활습관,lifestyle,20,6749 6990 9403 10403 12415 4627 8303 23866 23865 12723 7584 11052 12495 7792
Q0095,하루에 (담배) 몇갑 태우세요?,생활습관,lifestyle,10,6749 12495 10403 12415 4627 7792 8303 23866 23865 12723 11052
Q0096,하루에 어느 정도 태우세요?,생활습관,general,6,6450 11433 11931 12415 3261 7224 10403 5472
Q0097,음주는 한달에 몇 번 하시나요?,생활습관,lifestyle,11,7792 6749 12495 10403 12415 4627 8303 23866 23865 12723 11052
Q0098,드실 때 음주량이 얼마정도 인가요?,생활습관,lifestyle,11,7792 6749 12495 10403 12415 4627 8303 23866 23865 12723 11052
Q0099,수술받은적 없으시고 그렇죠?,수술 및 입원 이력,lifestyle,20,9846 9403 944 6556 8963 9525 12442 9466 6749 12495 10403 12415 4627 7792 8303 23866 23865 12723 11052
Q0100,입원하신 적 있으세요?,수술 및 입원 이력,surgery_history,20,9846 9403 944 6556 8963 9525 12442 9466 7364 7223 5621
Q0101,어디 수술 하셨어요?,수술 및 입원 이력,surgery_site,7,944 6556 8799 7364 8622 7223 12255 9846
Q0102,(통증의학과 관련 수술로 한정),수술 및 입원 이력,lifestyle,10,6749 3678 6556 11356 12495 10403 12415 4627 7792 8303 23866 23865 12723 11052
Q0103,언제 디스크 수술을 하셨어요?,수술 및 입원 이력,lifestyle,10,6749 8602 6556 12495 10403 12415 4627 7792 8303 23866 23865 12723 11052
Q0104,치료를 해드릴까요?,치료 방향 설명 및 선택 제안,treatment_choice,20,9525 11990 12628 9466 9594 11052 10720 5621 6980
Q0105,아니면 일단 약만 드릴까요?,치료 방향 설명 및 선택 제안,treatment_choice,20,9525 11990 12628 9466 9594 11052 10720 5621 6980
Q0106,오늘 주사를 한 번 맞아 볼까요 어떻게 할까요?,치료 방향 설명 및 선택 제안,treatment_choice,20,9525 11990 12628 9466 9594 11052 10720 5621 6980 7703 7256
Q0107,"약만 드릴까요, 주사 놓을까요?",치료 방향 설명 및 선택 제안,treatment_choice,20,9525 11990 12628 9466 9594 11052 10720 5621 6980
Q0108,주사치료와 약 처방을 모두 할 수 있습니다. 어떻게 해드릴까요?,치료 방향 설명 및 선택 제안,treatment_choice,11,9525 11990 11052 10720 5621 6980 7497 8966 7256
Q0109,가장 불편해서 오늘 꼭 해결하고 싶은 증상은 무엇인가요?,진료개시,chief_complaint,14,944 11852 6886 7703 5294 7364 7223 7284 3752 12255 4542 5621 6635 4302 5468 6929 6726 1183 8966
Q0110,통증 때문에 응급실이나 야간진료를 다녀오신 적이 있나요?,진료개시,chief_complaint,14,944 5621 7364 7223 7284 3752 12255 4542 6635 4302 5468 6929 6726 1183 8966
Q0111,최근 같은 증상으로 어느 병원에 다녀오셨나요?,진료개시,prior_treatment,12,3261 7224 4797 9098 2711 9846
Q0112,이전에 받은 치료 중 효과가 있었던 것은 무엇인가요?,진료개시,prior_treatment,12,9594 4797 9098 2711 9846
Q0113,최근 촬영한 엑스레이나 MRI가 있으신가요?,진료개시,exam_history,8,9098 2711 3261 7597 12468 6873 3573 10789 2470 9846
Q0114,검사 결과에서 어떤 진단을 들으셨나요?,진료개시,exam_history,8,9098 2711 12468 6873 9376 7224 4182 3573 10789 2470 9846
Q0115,"통증이 한 곳에만 있나요, 여러 곳에 있나요?",통증 부위,location,15,944 11852 4322 5621 6036 7223 12035 7364 9650 10313 12255 8622 11004 6486 4302
Q0116,통증이 허리에서 다리로 내려가나요?,통증 부위,location,15,944 11852 4322 5621 7284 3752 6036 7223 12035 7364 9650 10313 12255 8622 11004 6486 4302
Q0117,통증이 목에서 팔이나 손으로 내려가나요?,통증 부위,location,15,944 11852 4322 5621 6036 7223 12035 7364 9650 10313 12255 8622 11004 6486 4302
Q0118,엉치에서 허벅지 뒤쪽으로 당기나요?,통증 부위,location,15,944 11852 4322 7364 10313 6036 7223 12035 9650 5621 12255 8622 11004 6486 4302
Q0119,"무릎 안쪽이 아프세요, 바깥쪽이 아프세요?",통증 부위,location,15,944 11852 4322 7364 6036 7223 12035 9650 5621 10313 12255 8622 11004 6486 4302
Q0120,"어깨 앞쪽이 아프세요, 뒤쪽이 아프세요?",통증 부위,location,15,944 11852 4322 7223 10313 6036 12035 7364 9650 5621 12255 8622 11004 6486 4302
Q0121,"발바닥 앞쪽이 아프세요, 뒤꿈치가 아프세요?",통증 부위,location,15,944 11852 4322 7364 6036 7223 12035 9650 5621 10313 12255 8622 11004 6486 4302
Q0122,손가락 마디 중 어느 부위가 아프세요?,통증 부위,location,15,944 11852 4322 12255 8622 7224 6036 7223 12035 7364 9650 5621 10313 11004 6486 4302
Q0123,"통증이 피부 표면이 아픈 느낌인가요, 속이 아픈 느낌인가요?",통증 부위,location,15,944 11852 4322 5621 1409 6036 7223 12035 7364 9650 10313 12255 8622 11004 6486 4302
Q0124,통증이 오른쪽과 왼쪽 중 어느 쪽이 더 심한가요?,통증 부위,side,10,6036 12035 5621 7224 9846 5275 7284 3752 537
Q0125,통증이 양쪽으로 번갈아 나타나나요?,통증 부위,side,10,6036 12035 5621 9846 5275 7284 3752 537
Q0126,처음 아픈 쪽과 지금 아픈 쪽이 같은가요?,통증 부위,side,10,6036 12035 10420 6990 9846 5275 7284 3752 537
Q0127,지금 이 순간 통증은 0점에서 10점 중 몇 점인가요?,통증강도,pain_score,10,24029 11311 10696 8944 11055 12674 12397 10137 11315 12707 11233 23962 10919 7828 23841 12528 11237 11404 4408 11419 537 23851 11057 9956 8239 8009 3024 12573 11500 12841
Q0128,가장 심할 때 통증은 몇 점인가요?,통증강도,pain_score,10,24029 11311 10696 8944 11055 12674 12397 10137 11315 12707 11233 23962 10919 7828 23841 12528 11237 11404 4408 11419 537 23851 11057 9956 8239 8009 3024 12573 11500 12841
Q0129,평소 평균 통증은 몇 점인가요?,통증강도,pain_score,10,24029 11311 10696 8944 11055 12674 12397 10137 11315 12707 11233 23962 10919 7828 23841 12528 11237 11404 4408 11419 537 23851 11057 9956 8239 8009 3024 12573 11500 12841
Q0130,약을 먹은 뒤 통증은 몇 점까지 줄어드나요?,통증강도,pain_score,10,24029 11311 10696 8944 11055 12674 12397 10137 11315 12707 11233 23962 10919 7828 23841 12528 11237 11404 4408 11419 537 23851 11057 9956 8239 8009 3024 12573 11500 12841
Q0131,통증 때문에 일상생활이 어느 정도 제한되나요?,통증강도,severity,10,10493 11467 4998 10440 10403 3468 7957 3762 12415 6934
Q0132,"참을 수 있는 통증인가요, 바로 치료가 필요한 정도인가요?",통증강도,severity,10,10493 11467 4998 10440 10403 3468 7957 3762 12415 6934
Q0133,통증 때문에 걷는 거리나 시간이 줄었나요?,통증강도,function,10,3762 10440 6929 8185 7857 6395 6726 5621 24028 11301 8889 12408 4578
Q0134,통증 때문에 일을 쉬거나 활동을 줄였나요?,통증강도,function,10,3762 10440 6929 8185 7857 6395 6726 5621 4998 12408 4578
Q0135,처음 통증이 생긴 정확한 시점이 기억나시나요?,통증 발생시점,onset,12,8218 9403 8303 7957 10420 5621 11612 10403 6635 4542 6288 8925 6934 12442 11896 8713
Q0136,"갑자기 시작됐나요, 서서히 시작됐나요?",통증 발생시점,onset,12,8218 9403 8303 7957 11896 8713 9928 10403 6635 4542 6288 8925 6934 12442
Q0137,넘어지거나 부딪힌 뒤 시작됐나요?,통증 발생시점,onset,12,8218 9403 8303 7957 10403 6635 4542 6288 8925 6934 12442 11896 8713
Q0138,무거운 물건을 든 뒤 시작됐나요?,통증 발생시점,onset,12,8218 9403 8303 7957 6288 10403 6635 4542 8925 6934 12442 11896 8713
Q0139,운동이나 등산 후에 시작됐나요?,통증 발생시점,onset,12,8218 9403 8303 7957 8925 6905 10403 6635 4542 6288 6934 12442 11896 8713
Q0140,대상포진이나 감기 이후에 시작됐나요?,통증 발생시점,onset,12,8218 9403 8303 7957 8833 10403 6635 4542 6288 8925 6934 12442 11896 8713
Q0141,처음보다 점점 심해지고 있나요?,통증 발생시점,pattern,10,6934 9297 5504 5621 9846 12415 11241 10420 4998 6726 3261
Q0142,호전과 악화를 반복하나요?,통증 발생시점,pattern,10,6934 9297 5504 5621 9846 12415 11241 4998 6726 3261
Q0143,통증이 찌르는 듯한가요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 9670 11568
Q0144,통증이 전기 오는 느낌인가요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 9670 11568
Q0145,통증이 타는 듯하거나 화끈거리나요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 9670 11568
Q0146,통증이 둔하고 묵직한가요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 9670 11568
Q0147,통증이 시리거나 차가운 느낌인가요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 9670 11568
Q0148,통증이 당기거나 뻣뻣한 느낌인가요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 9670 11568
Q0149,피부가 스치기만 해도 아픈가요?,통증 양상,quality,15,9650 5621 7732 17068 10454 7491 6737 6182 1409 9670 11568
Q0150,대상포진 부위에 발진이나 물집이 있었나요?,통증 양상,skin_lesion,8,1409 10474 9079 9846 5621
Q0151,옷이 닿을 때 피부가 따갑나요?,통증 양상,skin_lesion,8,1409 10474 9079 9846 5621
Q0152,어떤 자세에서 더 아픈가요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 7224 7364 7857
Q0153,앉아 있으면 통증이 심해지나요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 5621 7364 7857
Q0154,서 있으면 통증이 심해지나요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 5621 7364 7857
Q0155,걸으면 통증이 심해지나요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 5621 7364 7857
Q0156,계단 오르내릴 때 통증이 심해지나요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 5621 7364 7857
Q0157,허리를 숙일 때 아픈가요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 7364 7857
Q0158,허리를 뒤로 젖힐 때 아픈가요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 7364 7857
Q0159,고개를 돌릴 때 목이나 팔 통증이 심해지나요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 5621 7364 7857
Q0160,기침이나 재채기할 때 통증이 울리나요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 5621 7364 7857
Q0161,누우면 통증이 줄어드나요?,통증 유발/완화 요인,trigger_posture,15,1183 8966 6726 11514 3762 6929 944 12779 9351 4998 11518 5468 7223 5621 7364 7857
Q0162,쉬면 통증이 줄어드나요?,통증 유발/완화 요인,treatment_effect,8,7957 8303 4795 5504 8925 5621 11931
Q0163,찜질하면 통증이 줄어드나요?,통증 유발/완화 요인,treatment_effect,8,7957 8303 4795 5504 8925 5621 11931
Q0164,진통제를 먹으면 통증이 줄어드나요?,통증 유발/완화 요인,treatment_effect,8,7957 8303 4795 5504 8925 5621 11931
Q0165,찬 음식이나 찬물을 먹을 때 통증이 심해지나요?,통증 유발/완화 요인,dental_trigger,8,5621 9351 6036
Q0166,음식을 씹을 때 턱이나 치아 쪽 통증이 심해지나요?,통증 유발/완화 요인,dental_trigger,8,9956 3024 5621 9351 6036
Q0167,통증 부위가 저리거나 감각이 둔한가요?,통증 동반증상,associated,15,17068 7364 5621 6196 7828 12776 9846 8622 537 10440 651 18633 11053 9614
Q0168,팔이나 다리로 저림이 내려가나요?,통증 동반증상,associated,15,17068 7364 7284 3752 6196 7828 12776 9846 8622 537 10440 651 18633 11053 9614
Q0169,발목 힘도 약한가요?,통증 동반증상,neuro_weakness,8,12415 7364 10440 3762 6288 7284 3752 9846
Q0170,손에 힘이 빠져 물건을 놓친 적이 있나요?,통증 동반증상,neuro_weakness,8,12415 6288 10440 7364 3762 7284 3752 9846
Q0171,까치발이나 뒤꿈치 걷기가 어렵나요?,통증 동반증상,neuro_weakness,8,12415 10440 7364 3762 6288 7284 3752 9846
Q0172,통증 부위가 붓거나 열감이 있나요?,통증 동반증상,associated,15,17068 7364 5621 7828 6196 12776 9846 8622 537 10440 651 18633 11053 9614
Q0173,통증과 함께 두통이나 어지럼이 있나요?,통증 동반증상,associated,15,17068 7364 5621 2688 1397 23937 7419 6196 7828 12776 9846 8622 537 10440 651 18633 11053 9614
Q0174,메스껍거나 구역감이 있나요?,통증 동반증상,associated,15,17068 7364 6196 7828 12776 9846 8622 537 10440 651 18633 11053 9614
Q0175,열이 나거나 오한이 있나요?,통증 동반증상,red_flag,10,7828 9654 12776 8966 651 9614 11053 17068 6275 9846
Q0176,최근 체중이 이유 없이 줄었나요?,통증 동반증상,red_flag,10,7828 9654 12776 8966 3261 11524 651 9614 11053 17068 6275 9846
Q0177,소변이나 대변 조절이 어려워졌나요?,통증 동반증상,red_flag,10,7828 9654 12776 8966 651 11053 9614 17068 6275 9846
